GRUPEDAD;2017;2018;2019;2020;2021;2022;2023
01_Menor de 1 año;24;26;20;15;13;13;21
02_1 a 9;15;5;8;4;10;5;6
03_10 a 14;3;0;3;2;4;4;0
04_15 a 19;5;5;3;2;4;3;3
05_20 a 24;1;5;4;2;2;2;1
06_25 a 29;1;3;3;8;2;3;6
07_30 a 34;5;3;3;8;7;2;5
08_35 a 39;4;6;3;5;3;4;7
09_40 a 44;7;10;7;15;11;6;11
10_45 a 49;11;2;5;7;6;7;8
11_50 a 54;12;9;8;9;14;12;13
12_55 a 59;18;10;14;16;18;22;15
13_60 a 64;30;23;26;20;29;17;18
14_65 a 69;44;35;44;36;52;39;50
15_70 a 74;57;57;67;68;77;81;73
16_75 a 79;117;96;92;86;99;107;108
17_80 y más;523;490;541;435;498;516;532
99_Sin especificar;8;4;4;5;10;6;3
Total;885;789;855;743;859;849;880
